name,domain,getapp_logo,clearbit_logo,desc,rating,num_reviews,cat,subcat,getapp_cat_link
PRO(a)ACT,,https://ga0.imgix.net/logo/o/111687-1515598393-7897315?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Intelligent spend analysis with Power BI,,0,business-intelligence-analytics-software,data-analysis,https://www.getapp.com/business-intelligence-analytics-software/data-analysis/
Semantria,,https://ga0.imgix.net/logo/o/100763-1417453355-1631858?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Text analytics and sentiment analysis,,0,business-intelligence-analytics-software,data-mining,https://www.getapp.com/business-intelligence-analytics-software/data-mining/
PromptCloud,promptcloud.com,https://ga1.imgix.net/logo/o/109715-1505212162-0335455?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/promptcloud.com,Web crawler for enterprises,5.0,2,business-intelligence-analytics-software,data-extraction,https://www.getapp.com/business-intelligence-analytics-software/data-extraction/
TUNE Marketing Console,,https://ga1.imgix.net/logo/o/20427-1450717774-5350513?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Your Mission Control For Mobile,,0,business-intelligence-analytics-software,mobile-analytics,https://www.getapp.com/business-intelligence-analytics-software/mobile-analytics/
NetSuite,forms.netsuite.com,https://ga0.imgix.net/logo/o/9137-1523281868-9006538?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Cloud ERP and business management suite,3.98,93,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/
Logikcull,campaigns.logikcull.com,https://ga0.imgix.net/logo/o/101549-1432677908-0519404?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Discovery Automation | Cloud-based, Powerful and Affordable.",4.62,202,business-intelligence-analytics-software,data-discovery,https://www.getapp.com/business-intelligence-analytics-software/data-discovery/
Clarabridge,clarabridge.com,https://ga1.imgix.net/logo/o/100761-1417443760-7891042?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/clarabridge.com,Customer Experience Management,,0,business-intelligence-analytics-software,text-mining,https://www.getapp.com/business-intelligence-analytics-software/text-mining/
Synup,synup.com,https://ga1.imgix.net/logo/o/111753-1515770118-6933296?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Online listings & reputations management,,0,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/
Zoho PageSense,www.zoho.com,https://ga1.imgix.net/logo/o/112109-1518108784-5778954?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,A/B testing & website optimization tool,4.25,4,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/
VelocityEHS,www.ehs.com,https://ga0.imgix.net/logo/o/104315-1467798979-3301337?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Environment, Health, Safety (EHS) Management Software",4.67,3,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=2
